type,sequence #,sp500_return,start_date,end_date
1,0,-0.07129995910820218,1990-01-02,1990-01-31
1,1,0.008502978776064622,1990-02-01,1990-02-28
1,2,0.023966084441360638,1990-03-01,1990-03-30
1,3,-0.02725629515695758,1990-04-02,1990-04-30
1,4,0.0880018148558721,1990-05-01,1990-05-31
1,5,-0.008927032956155824,1990-06-01,1990-06-29
1,6,-0.005234931484164044,1990-07-02,1990-07-31
1,7,-0.09906461692761175,1990-08-01,1990-08-31
1,8,-0.0525413506426647,1990-09-04,1990-09-28
1,9,-0.006722952988737147,1990-10-01,1990-10-31
1,10,0.058206533329562,1990-11-01,1990-11-30
1,11,0.024525990504511642,1990-12-03,1990-12-31
1,12,0.04067857101402979,1991-01-02,1991-01-31
1,13,0.06511370254123054,1991-02-01,1991-02-28
1,14,0.021960464844231344,1991-03-01,1991-03-28
1,15,0.0003461841002381936,1991-04-01,1991-04-30
1,16,0.03785179830621237,1991-05-01,1991-05-31
1,17,-0.0490776562395238,1991-06-03,1991-06-28
1,18,0.04388006193274212,1991-07-01,1991-07-31
1,19,0.019458112510543,1991-08-01,1991-08-30
1,20,-0.0193310982281673,1991-09-03,1991-09-30
1,21,0.011792603461369523,1991-10-01,1991-10-31
1,22,-0.04492410126599044,1991-11-01,1991-11-29
1,23,0.1057881058155002,1991-12-02,1991-12-31
1,24,-0.02009953756307093,1992-01-02,1992-01-31
1,25,0.009520432172121979,1992-02-03,1992-02-28
1,26,-0.02207455587437633,1992-03-02,1992-03-31
1,27,0.027511414092038822,1992-04-01,1992-04-30
1,28,0.0009645976049630021,1992-05-01,1992-05-29
1,29,-0.017509150071398864,1992-06-01,1992-06-30
1,30,0.038619073957880716,1992-07-01,1992-07-31
1,31,-0.024292429469404412,1992-08-03,1992-08-31
1,32,0.009063521383176404,1992-09-01,1992-09-30
1,33,0.0021043836839672366,1992-10-01,1992-10-30
1,34,0.02981164492838437,1992-11-02,1992-11-30
1,35,0.010059318196078072,1992-12-01,1992-12-31
1,36,0.007023709908440486,1993-01-04,1993-01-29
1,37,0.010428303111156572,1993-02-01,1993-02-26
1,38,0.0185216207866589,1993-03-01,1993-03-31
1,39,-0.025748159200832055,1993-04-01,1993-04-30
1,40,0.022462283761236306,1993-05-03,1993-05-28
1,41,0.0007550796453433398,1993-06-01,1993-06-30
1,42,-0.005341214147030073,1993-07-01,1993-07-30
1,43,0.03385074146182718,1993-08-02,1993-08-31
1,44,-0.010039093901431302,1993-09-01,1993-09-30
1,45,0.01920654071267384,1993-10-01,1993-10-29
1,46,-0.01299309462826798,1993-11-01,1993-11-30
1,47,0.010040290262401922,1993-12-01,1993-12-31
1,48,0.03198307963957704,1994-01-03,1994-01-31
1,49,-0.030504852633016905,1994-02-01,1994-02-28
1,50,-0.04682824436848625,1994-03-01,1994-03-31
1,51,0.011464451560363314,1994-04-04,1994-04-29
1,52,0.012342680844443451,1994-05-02,1994-05-31
1,53,-0.02717797717415504,1994-06-01,1994-06-30
1,54,0.030979010620232186,1994-07-01,1994-07-29
1,55,0.03695001581311065,1994-08-01,1994-08-31
1,56,-0.027267198520249572,1994-09-01,1994-09-30
1,57,0.020619310027396694,1994-10-03,1994-10-31
1,58,-0.04030583771914854,1994-11-01,1994-11-30
1,59,0.012224421211628535,1994-12-01,1994-12-30
1,60,0.023989672913125853,1995-01-03,1995-01-31
1,61,0.03543937715909908,1995-02-01,1995-02-28
1,62,0.026961016024512098,1995-03-01,1995-03-31
1,63,0.027577895548976227,1995-04-03,1995-04-28
1,64,0.03566728111419192,1995-05-01,1995-05-31
1,65,0.021057564385109334,1995-06-01,1995-06-30
1,66,0.03128287921232606,1995-07-03,1995-07-31
1,67,-0.0003222349680080066,1995-08-01,1995-08-31
1,68,0.03931496369525307,1995-09-01,1995-09-29
1,69,-0.004991218073088648,1995-10-02,1995-10-31
1,70,0.040228870365487356,1995-11-01,1995-11-30
1,71,0.01729390958188242,1995-12-01,1995-12-29
1,72,0.032096469760660516,1996-01-02,1996-01-31
1,73,0.006910395187732422,1996-02-01,1996-02-29
1,74,0.007885651577700556,1996-03-01,1996-03-29
1,75,0.013341597498947425,1996-04-01,1996-04-30
1,76,0.022597456911978626,1996-05-01,1996-05-31
1,77,0.002254869094674198,1996-06-03,1996-06-28
1,78,-0.04682721316707424,1996-07-01,1996-07-31
1,79,0.018640220325894734,1996-08-01,1996-08-30
1,80,0.052755665390882944,1996-09-03,1996-09-30
1,81,0.025794651032020312,1996-10-01,1996-10-31
1,82,0.07080946017213342,1996-11-01,1996-11-29
1,83,-0.021742093830638607,1996-12-02,1996-12-31
1,84,0.05951098530020919,1997-01-02,1997-01-31
1,85,0.00591039827439187,1997-02-03,1997-02-28
1,86,-0.04354811393458604,1997-03-03,1997-03-31
1,87,0.05676412303734234,1997-04-01,1997-04-30
1,88,0.0569249161234624,1997-05-01,1997-05-30
1,89,0.04253725375916016,1997-06-02,1997-06-30
1,90,0.07522092464043717,1997-07-01,1997-07-31
1,91,-0.059161203087521735,1997-08-01,1997-08-29
1,92,0.0517902407371018,1997-09-02,1997-09-30
1,93,-0.035085198313645996,1997-10-01,1997-10-31
1,94,0.043623117154407524,1997-11-03,1997-11-28
1,95,0.015609680052109888,1997-12-01,1997-12-31
1,96,0.010098457049215576,1998-01-02,1998-01-30
1,97,0.06807778999509907,1998-02-02,1998-02-27
1,98,0.048738086371660265,1998-03-02,1998-03-31
1,99,0.009038634773095676,1998-04-01,1998-04-30
1,100,-0.01900717493689542,1998-05-01,1998-05-29
1,101,0.03868099791492064,1998-06-01,1998-06-30
1,102,-0.011684012683045145,1998-07-01,1998-07-31
1,103,-0.15758519613137145,1998-08-03,1998-08-31
1,104,0.060526697954987746,1998-09-01,1998-09-30
1,105,0.07723276447969814,1998-10-01,1998-10-30
1,106,0.05744604041090586,1998-11-02,1998-11-30
1,107,0.054846189467068485,1998-12-01,1998-12-31
1,108,0.04018715174160736,1999-01-04,1999-01-29
1,109,-0.0328155857787243,1999-02-01,1999-02-26
1,110,0.03806058603925514,1999-03-01,1999-03-31
1,111,0.03724148485950639,1999-04-01,1999-04-30
1,112,-0.025286797104715035,1999-05-03,1999-05-28
1,113,0.05300621525239305,1999-06-01,1999-06-30
1,114,-0.03257223035852004,1999-07-01,1999-07-30
1,115,-0.006274765401529995,1999-08-02,1999-08-31
1,116,-0.028968139995272882,1999-09-01,1999-09-30
1,117,0.060660593226394215,1999-10-01,1999-10-29
1,118,0.01888339379196016,1999-11-01,1999-11-30
1,119,0.0562317940325401,1999-12-01,1999-12-31
2,0,-0.06826585133143587,1990-01-02,1990-02-12
2,1,0.029434955440659487,1990-02-13,1990-03-30
2,2,0.04052778864085613,1990-04-02,1990-05-16
2,3,-0.0047869415083908835,1990-05-17,1990-06-25
2,4,-0.021371559883318132,1990-06-26,1990-08-03
2,5,-0.10231878497477652,1990-08-06,1990-09-21
2,6,0.028746650465658254,1990-09-24,1990-11-14
2,7,-0.01626636643279541,1990-11-15,1991-01-11
2,8,0.15855000721929793,1991-01-14,1991-02-19
2,9,0.01600516327842642,1991-02-20,1991-03-27
2,10,0.014415817072251771,1991-03-28,1991-05-03
2,11,-0.00804143846065709,1991-05-06,1991-06-21
2,12,0.02449897072054336,1991-06-24,1991-08-09
2,13,-0.0031054591840819446,1991-08-12,1991-09-23
2,14,0.016806055823545565,1991-09-24,1991-10-31
2,15,-0.03833692194741888,1991-11-01,1991-12-11
2,16,0.10720091382174798,1991-12-12,1992-01-14
2,17,-0.007902419814600907,1992-01-15,1992-02-12
2,18,-0.014074669225618825,1992-02-13,1992-03-20
2,19,0.008834854542113146,1992-03-23,1992-04-30
2,20,-0.027558380279771137,1992-05-01,1992-06-19
2,21,0.036987668114756976,1992-06-22,1992-08-07
2,22,-0.005411708138112356,1992-08-10,1992-09-28
2,23,0.004789559141399734,1992-09-29,1992-11-10
2,24,0.032779553170089515,1992-11-11,1992-12-15
2,25,0.00673034549306748,1992-12-16,1993-01-21
2,26,-0.0015842161949818736,1993-01-22,1993-02-23
2,27,0.015038779852299547,1993-02-24,1993-04-02
2,28,-0.004908101400464853,1993-04-05,1993-05-13
2,29,0.015137603865947005,1993-05-14,1993-06-22
2,30,0.005836114605374391,1993-06-23,1993-08-04
2,31,0.025009373145097925,1993-08-05,1993-09-14
2,32,0.013625227304357631,1993-09-15,1993-10-19
2,33,-0.008290824924616533,1993-10-20,1993-11-24
2,34,0.016175726191415947,1993-11-26,1994-01-07
2,35,0.0061309133859840425,1994-01-10,1994-02-16
2,36,-0.05934356073011513,1994-02-17,1994-03-30
2,37,0.008535742952850874,1994-03-31,1994-05-17
2,38,-0.0014254533425061308,1994-05-18,1994-07-13
2,39,0.053029725714798186,1994-07-14,1994-09-01
2,40,-0.024931245270169457,1994-09-02,1994-10-25
2,41,-0.005909252883723436,1994-10-26,1994-12-16
2,42,0.04764882474629845,1994-12-19,1995-02-08
2,43,0.03976447886498084,1995-02-09,1995-03-31
2,44,0.03699602997735797,1995-04-03,1995-05-18
2,45,0.05159350960650074,1995-05-19,1995-07-03
2,46,0.024020488364501626,1995-07-05,1995-08-08
2,47,0.03915700045410199,1995-08-09,1995-09-18
2,48,-0.010434409847085307,1995-09-19,1995-10-26
2,49,0.06861422675941599,1995-10-27,1995-12-05
2,50,-0.029342159646741733,1995-12-06,1996-01-15
2,51,0.06585508928370278,1996-01-16,1996-02-20
2,52,0.012857752588984118,1996-02-21,1996-03-28
2,53,-0.011328472493818803,1996-03-29,1996-05-03
2,54,0.04777956550887468,1996-05-06,1996-06-06
2,55,-0.06638817571335683,1996-06-07,1996-07-15
2,56,0.05648939148421692,1996-07-16,1996-08-27
2,57,0.041460424638253085,1996-08-28,1996-10-10
2,58,0.07502823980963005,1996-10-11,1996-11-22
2,59,0.00598829791787675,1996-11-25,1997-01-07
2,60,0.06369859242816993,1997-01-08,1997-02-12
2,61,-0.017211313245513383,1997-02-13,1997-03-25
2,62,0.03309307274362982,1997-03-26,1997-05-07
2,63,0.08621698925468407,1997-05-08,1997-06-18
2,64,0.058149502122573776,1997-06-19,1997-07-29
2,65,-0.012193047384387444,1997-07-30,1997-09-04
2,66,0.04181741926473665,1997-09-05,1997-10-09
2,67,-0.05233423253035777,1997-10-10,1997-11-10
2,68,0.02746766848575495,1997-11-11,1997-12-19
2,69,0.06066007941705108,1997-12-22,1998-02-03
2,70,0.05629638468887506,1998-02-04,1998-03-10
2,71,0.05045404894860549,1998-03-11,1998-04-15
2,72,-0.008793152252674703,1998-04-16,1998-05-19
2,73,0.021117368721645307,1998-05-20,1998-06-26
2,74,-0.011119236311249146,1998-06-29,1998-07-31
2,75,-0.1318256764959485,1998-08-03,1998-09-03
2,76,0.0021662801956026955,1998-09-04,1998-10-09
2,77,0.13641024094317988,1998-10-12,1998-11-10
2,78,0.04600967561545498,1998-11-11,1998-12-08
2,79,0.07417561346721915,1998-12-09,1999-01-06
2,80,-0.02319679367022928,1999-01-07,1999-01-27
2,81,-0.0031826519768792558,1999-01-28,1999-02-19
2,82,0.0462046241787069,1999-02-22,1999-03-17
2,83,0.03819519109782711,1999-03-18,1999-04-09
2,84,0.010659162980906077,1999-04-12,1999-04-27
2,85,-0.017744298459204798,1999-04-28,1999-05-20
2,86,-0.028540964861523372,1999-05-21,1999-06-15
2,87,0.06922118677547293,1999-06-16,1999-07-08
2,88,-0.04876839600918467,1999-07-09,1999-08-02
2,89,0.03966747752909625,1999-08-03,1999-08-25
2,90,-0.03413571991317036,1999-08-26,1999-09-17
2,91,-0.00015677744582788254,1999-09-20,1999-10-11
2,92,0.014061852594378884,1999-10-12,1999-11-01
2,93,0.04094210701752697,1999-11-02,1999-11-17
2,94,0.015886082813037772,1999-11-18,1999-12-03
2,95,-0.010668914130803871,1999-12-06,1999-12-20
